,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
86,Mark48282093,Crypto enthusiast,,141,5,1,0,"@profit8lue You seem to post more when  btc drops in price. Is it not better we all buy now and make it go up to 100k, than let it dump to 20k or below and then it goes to 60k probably. Negativity is the psychology that dumbs Bitcoin.. just saying..",[]
87,Henrisama_,,,23,7,212,3,"Your Feeling? 😂

$CBFI #Bitcoin #cryptomemes https://t.co/MHC1w2nVgX","['Bitcoin', 'cryptomemes']"
88,wi_s_bitcoin,"I'm just an apple who loves art, math, programming & 🍊💊 #Bitcoin # will go to as fiat goes to O Hyperbitcoinization will be hyperbolic #Stock2FOMO #GetOnZero",,0,0,98,2,"At what block height did you send or receive your first txn on the #Bitcoin time-chain? If you don't want to dox yourself, give a range. Mine was between 588,000 and 589,000. Got 120,000+ confirmations on that bad boy!",['Bitcoin']
89,PraKillaGramm52,PA/SM/NFT,,104,22,460,0,Am I doing it rite ? #btc #bitcoin #alts https://t.co/E8HbmflbsS,"['btc', 'bitcoin', 'alts']"
90,AdanHerreraHer1,,,121,17,241,2328,"Top 10 Cyptocurrencies in the World by Twitter Followers (04/JUN/2022) 

1. #BNB Binance 8.99M
2. #Bitcoin 5.31M
3. #Dogecoin 3.40M
4. #SHIB 3.38M
5. #Ethereum 2.59M 
6. #XRP 2.51M
7. #CRO 2.21M
8. #Solana 1.87M 
9. #Polygon 1.52M
10. #BabyDoge 1.43M","['BNB', 'Bitcoin']"
91,intangiblecoins,"Head of Firmwide Research @GalaxyDigitalHQ 🚀🚀 Prev: @AvonVentures, #Bitcoin Research @Fidelity",🇺🇸🛩🌐,998,17673,6202,0,"@nic__carter yeah, lots of hyperbolic language just from NYT in characterizing bitcoin. but also, isn’t extranonce analysis similar to what @SDLerner did with patoshi?",[]
92,DeeanMr,"Blockchain and Cryptocurrency
CEO JeroJero App","Pekan Baru, Riau",48,18,193,3,"Your Feeling? 😂

$CBFI #Bitcoin #cryptomemes https://t.co/MHC1w2nVgX","['Bitcoin', 'cryptomemes']"
93,JasonLongDickey,"Priest/Prophet, inventor, writer, comedian, poet.  Love games, anime, superheroes and scifi.  Moderate.  
#GodIsLove",,539,492,30528,0,@michaelianblack Buy some Bitcoin Cash now while it's low and you might be a billionaire. ;),[]
94,wi_s_bitcoin,"I'm just an apple who loves art, math, programming & 🍊💊 #Bitcoin # will go to as fiat goes to O Hyperbitcoinization will be hyperbolic #Stock2FOMO #GetOnZero",,0,0,98,5,"The difference with the largest #bitcoin investors and the largest ETH investors, one plans to HODL indefinitely, the other plans to eventually sell for fiat gains (or #bitcoin gains if they're smart). This is one of the many reasons why #bitcoin will outperform ETH long term.",['bitcoin']
95,ERRN_91,bitcoin is Monetary Freedom | Get Your BTC Off Exchanges ! | Not Your 🔑 Not Your 🧀,Citadel,1804,610,3116,1,"Would you rather have the price of the goods you purchase go up or down over time? 

If down, consider using Bitcoin as money.

Disclosure: This tweet is sponsored by @stlouisfed https://t.co/zuJ9a6viBY",[]
96,JustinJ369,"Follow for excellent updates on the news that moves the markets str8 from the Titans
#Bitcoin #Dogecoin @Elonmusk @APompliano
It's a beautiful day. LFG!!!","Colorado, USA",155,99,1400,0,"@APompliano Definitely  #Bitcoin 
💯",['Bitcoin']
97,SumHexican,,,432,266,836,127,"I'm so tired of being called a Ponzi schemer because I mined #Bitcoin in 2011, 50 $BTC per block rewards, solo, no pool. $BTC is not Ponzi!",['Bitcoin']
98,thiagolins__,Thiago,,69,9,670,109,#Bitcoin is at $30000! #BabyDogeCoin   #BabyDogeArmy,"['Bitcoin', 'BabyDogeCoin', 'BabyDogeArmy']"
99,champagne_air,idgd_isgd,Ireland Kerry ballybunion ,4996,1423,84724,1,"The opportunities to buy #Bitcoin below $30K is right in front of us.

Smart investors see dips as opportunities. #BTC","['Bitcoin', 'BTC']"
